Pinduoduo,Internet,China,Shanghai,Eastern China
Unilever,Foodstuff,Netherlands/United Kingdom,NULL,Europe
Deutsche Bank,Bank,Germany,NULL,Europe
Albertson's,Retail,United States,NULL,America
Santander Central Hispano Group,Bank,Spain,NULL,Europe
Koninklijke Ahold,Retail,Netherlands,NULL,Europe
Kroger,Retail,United States,NULL,America
Tencent,Internet,China,Shenzhen,Southern China
Mitsubishi Motors,Car,Japan,NULL,Asia
BNP Paribas,Bank,France,NULL,Europe
HSBC Holdings,Bank,United Kingdom,NULL,Europe
Delphi Automotive Systems,Auto parts,United States,NULL,America
Allianz,Insurance,Germany,NULL,Europe
Munich Re Group,Insurance,Germany,NULL,Europe
Chengdu AIG,Military,China,Chengdu,Southwestern China
Home Depot,Retail,United States,NULL,America
Robert Bosch,Electrical and electronic,Germany,NULL,Europe
Cardinal Health,Pharmaceutical,United States,NULL,America
BASF,Chemistry,Germany,NULL,Europe
Meituan,Internet,China,Beijing,Northern China
Target,Retail,United States,NULL,America
Agricultural Bank of China,Bank,China,Beijing,Northern China
CGNU,Insurance,United Kingdom,NULL,Europe
Enron,Energy,United States,NULL,America
Tesco,Retail,United Kingdom,NULL,Europe
Industrial and Commercial Bank of China,Bank,China,Beijing,Northern China
Peugeot,Car,France,NULL,Europe
Alcatel,Electrical and electronic,France,NULL,Europe
Dell Computer,Computer,United States,NULL,America
Safeway,Retail,United States,NULL,America
Nissho Iwai,Diversify,Japan,NULL,Asia
Royal Philips Electronics,Electrical and electronic,Netherlands,NULL,Europe
China North Industries Group Corporation,Military,China,Beijing,Northern China
Johnson & Johnson,Pharmaceutical,United States,NULL,America
Samsung Electronics,Electrical and electronic,Korea,NULL,Asia
Nestlиж,Foodstuff,Switzerland,NULL,Europe
Hewlett-Packard,Computer,United States,NULL,America
ABN AMRO Holding,Bank,Netherlands,NULL,Europe
Honda Motor,Car,Japan,NULL,Asia
NEC,Electrical and electronic,Japan,NULL,Asia
J.C. Penney,Retail,United States,NULL,America
Berkshire Hathaway,Insurance,United States,NULL,America
Duke Energy,Electricity gas,United States,NULL,America
Goldman Sachs Group,Securities brokerage,United States,NULL,America
Pfizer,Pharmaceutical,United States,NULL,America
Fannie Mae,Finance,United States,NULL,America
Dynegy,Energy,United States,NULL,America
Exxon Mobil,Oil refining,United States,NULL,America
Rwe Group,Electricity gas,Germany,NULL,Europe
HypoVereinsbank,Bank,Germany,NULL,Europe
Morgan Stanley Dean Witter,Securities brokerage,United States,NULL,America
Total Fina Elf,Oil refining,France,NULL,Europe
Procter & Gamble,Household chemicals,United States,NULL,America
Reliant Energy,Electricity and gas utilities,United States,NULL,America
DaimlerChrysler,Car,Germany,NULL,Europe
L.M. Ericsson,Electrical and electronic,Sweden,NULL,Europe
Credit Suisse,Bank,Switzerland,NULL,Europe
Nippon Telegraph & Telephone,Telecommunications,Japan,NULL,Asia
Tokyo Electric Power,Electricity gas,Japan,NULL,Asia
Sears Roebuck,Retail,United States,NULL,America
Hyundai,Diversify,Korea,NULL,Asia
General Motors,Car,United States,NULL,America
BMW,Car,Germany,NULL,Europe
Dai-ichi Mutual Life Insurance,Insurance,Japan,NULL,Asia
SK,Oil refining,Korea,NULL,Asia
Freddie Mac,Finance,United States,NULL,America
Philip Morris,Food tobacco,United States,NULL,America
Toshiba,Electrical and electronic,Japan,NULL,Asia
Metro,Retail,Germany,NULL,Europe
Chevron,Oil refining,United States,NULL,America
Renault,Car,France,NULL,Europe
Texaco,Oil refining,United States,NULL,America
Samsung,Diversify,Korea,NULL,Asia
Lucent Technologies,Electrical and electronic,United States,NULL,America
China Construction Bank,Bank,China,Beijing,Northern China
MiHoYo,Game,China,Shanghai,Eastern China
Thyssen Krupp,Industrial and agricultural equipment,Germany,NULL,Europe
ENI,Oil refining,Italy,NULL,Europe
Nippon Life Insurance,Insurance,Japan,NULL,Asia
Kmart,Retail,United States,NULL,America
Royal Bank of Scotland,Bank,United Kingdom,NULL,Europe
Verizon Communications,Telecommunications,United States,NULL,America
Matsushita Electric Industrial,Electrical and electronic,Japan,NULL,Asia
Bank of America Corp.,Bank,United States,NULL,America
State Farm Insurance Cos.,Insurance,United States,NULL,America
AXA,Insurance,France,NULL,Europe
State Power Corporation,Electricity,China,Beijing,Northern China
BT,Telecommunications,United Kingdom,NULL,Europe
Pemex,Crude,Mexico,NULL,America
McKesson HBOC,Retail,United States,NULL,America
Mizuho Holdings,Bank,Japan,NULL,Asia
Toyota Motor,Car,Japan,NULL,Asia
Royal Dutch/Shell Group,Oil refining,Netherlands/United Kingdom,NULL,Europe
Nortel Networks,Electrical and electronic,Canada,NULL,America
Sumitomo,Diversify,Japan,NULL,Asia
Prudential,Insurance,United Kingdom,NULL,Europe
Xiaomi,Computer,China,Beijing,Northern China
Conoco,Oil refining,United States,NULL,America
American International Group,Insurance,United States,NULL,America
Citigroup,Finance,United States,NULL,America
WorldCom,Telecommunications,United States,NULL,America
Ing Group,Insurance,Netherlands,NULL,Europe
OPPO,Computer,China,Dongguan,Southern China
General Electric,Electrical and electronic,United States,NULL,America
Costco Wholesale,Retail,United States,NULL,America
Allstate,Insurance,United States,NULL,America
Meiji Life Insurance,Insurance,Japan,NULL,Asia
Hitachi,Electrical and electronic,Japan,NULL,Asia
PDVSA,Oil refining,Venezuela,NULL,America
Netease,Internet,China,Guangzhou,Southern China
Repsol YPF,Oil refining,Spain,NULL,Europe
Deutsche Post,Postal parcels,Germany,NULL,Europe
Mitsubishi,Diversify,Japan,NULL,Asia
Sina,Internet,China,Beijing,Northern China
TIAA-CREF,Insurance,United States,NULL,America
Mitsubishi Electric,Electrical and electronic,Japan,NULL,Asia
Compaq Computer,Computer,United States,NULL,America
BP,Oil refining,United Kingdom,NULL,Europe
Bilibili,Internet,China,Shanghai,Eastern China
Carrefour,Retail,France,NULL,Europe
USX,Oil refining,United States,NULL,America
Sinopec,Petrochemical,China,Beijing,Northern China
Merck,Pharmaceutical,United States,NULL,America
AT&T,Telecommunications,United States,NULL,America
Deutsche Telekom,Telecommunications,Germany,NULL,Europe
Electricite De France,Electricity,France,NULL,Europe
J.P. Morgan Chase,Bank,United States,NULL,America
China Petroleum,Oil refining,China,Beijing,Northern China
Intl. Business Machines,Computer,United States,NULL,America
Ping An Insurance (Group) Company Of China,Insurance,China,Shenzhen,Southern China
Itochu,Diversify,Japan,NULL,Asia
China Merchants Bank,Bank,China,Shenzhen,Southern China
MetLife,Insurance,United States,NULL,America
Zurich Financial Services,Insurance,Switzerland,NULL,Europe
Motorola,Electrical and electronic,United States,NULL,America
Sony,Electrical and electronic,Japan,NULL,Asia
UBS,Bank,Switzerland,NULL,Europe
Intel,Semiconductor,United States,NULL,America
Sumitomo Life Insurance,Insurance,Japan,NULL,Asia
Merrill Lynch,Securities brokerage,United States,NULL,America
U.S. Postal Service,Postal parcels,United States,NULL,America
Fortis,Insurance,Netherlands/Belgium,NULL,Europe
SBC Communications,Telecommunications,United States,NULL,America
Boeing,Aerospace,United States,NULL,America
Ingram Micro,Retail,United States,NULL,America
Vivendi Universal,Amusement,France,NULL,Europe
Bank Of China,Bank,China,Beijing,Northern China
Wal-Mart Stores,Retail,United States,NULL,America
Suez,Water,France,NULL,Europe
China Electronics Technology Group Corporation,Electrical and electronic,China,Beijing,Northern China
Crижdit Agricole,Bank,France,NULL,Europe
Mitsui,Diversify,Japan,NULL,Asia
Fiat,Car,Italy,NULL,Europe
Assicurazioni Generali,Insurance,Italy,NULL,Europe
E.I. du Pont de Nemours,Chemistry,United States,NULL,America
E. ON,Diversify,Germany,NULL,Europe
Huawei,Computer,China,Shenzhen,Southern China
Siemens,Electrical and electronic,Germany,NULL,Europe
Fujitsu,Computer,Japan,NULL,Asia
Baidu,Internet,China,Beijing,Northern China
Marubeni,Diversify,Japan,NULL,Asia
Volkswagen,Car,Germany,NULL,Europe
Nissan Motor,Car,Japan,NULL,Asia
Alibaba,Internet,China,Hangzhou,Eastern China
United Parcel Service,Postal parcels,United States,NULL,America
Ford Motor,Car,United States,NULL,America
France Tижlижcom,Telecommunications,France,NULL,Europe
